200.7.0.0/22,BR,BR-PR,Dois Vizinhos
200.7.0.0/23,BR,BR-PR,Dois Vizinhos
200.7.2.0/23,BR,BR-PR,Dois Vizinhos
200.7.0.0/24,BR,BR-PR,Dois Vizinhos
200.7.1.0/24,BR,BR-PR,Dois Vizinhos
200.7.2.0/24,BR,BR-PR,Dois Vizinhos
200.7.3.0/24,BR,BR-PR,Dois Vizinhos
2804:1818::/32,BR,BR-PR,Dois Vizinhos
2804:1818::/33,BR,BR-PR,Dois Vizinhos
2804:1818:8000::/33,BR,BR-PR,Dois Vizinhos
